# Audience Network publishers with very low impression volumes do not appear on this list. Any campaign using a block list will not deliver ads to any of these low volume publishers. To download this list of low volume publishers visit https://business.facebook.com/business/publisher-list?low_volume_publishers_only=true
Note:  Here App Store Categories column values are directly scraped from itunes/google play stores. Learn more about this file: http://facebook.com/business/help/1382467665184382
"Note:  The Minimum Age Rating column values are directly scraped from itunes/google play stores. They are the highest rating across the UK, US, DE, AU, KR and RU stores to represent the major ratings boards and agencies. Special values are: 0 = Unrated, 1 = Everyone."
URL,Audience Network - Rewarded videos,"Audience Network - Native, banner and interstitial",Content creator,Date added,App store categories,Minimum age rating
https://itunes.apple.com/us/app/id569077959,no,yes,Timehop - Memories Then & Now,2017-10-07,Social Networking,4
https://itunes.apple.com/us/app/id404721929,yes,yes,"1km -New relationships, Groups",2022-09-26,Social Networking,17
https://itunes.apple.com/us/app/id338851554,no,yes,Meteo - by iLMeteo.it,2023-06-02,Weather,4
https://itunes.apple.com/us/app/id353938652,no,yes,Baby Names™,2022-09-26,Health & Fitness,9
https://itunes.apple.com/us/app/id576395411,yes,yes,Brain Games - Left vs Right,2022-09-26,Games,4
https://itunes.apple.com/us/app/id547101139,yes,yes,Traffic Racer,2022-09-26,Games,4
https://itunes.apple.com/us/app/id495889043,yes,yes,GamePoint Bingo,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.absolute.bingo,yes,yes,Absolute Bingo,2022-09-26,Casino,18
https://itunes.apple.com/us/app/id538212549,yes,no,Big Fish Casino: Slots Games,2023-02-09,Games,17
http://play.google.com/store/apps/details?id=com.hashcube.sudokuquest,yes,yes,Sudoku Quest,2022-09-26,Puzzle,1
https://itunes.apple.com/us/app/id572821456,yes,no,Pet Rescue Saga,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.jogatina.buraco,yes,yes,Buraco Jogatina: Card Games,2022-09-26,Card,1
https://itunes.apple.com/us/app/id658320310,yes,yes,Do Not Disturb! Prank Games,2022-09-26,Games,4
https://itunes.apple.com/us/app/id479536744,yes,yes,Bejeweled Classic,2022-09-26,Games,4
https://itunes.apple.com/us/app/id577355241,yes,no,Indian Rummy Teen Patti Rummy,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.avast.android.mobilesecurity,no,yes,Avast Antivirus & Security,2022-09-26,Tools,1
https://itunes.apple.com/us/app/id321916506,yes,yes,Words With Friends Classic,2022-09-26,Games,4
