URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/100101238507078,Malayalam Comedy Central,ComedyCentralMalayalam,2023-06-29,no,52609,Malayalam,no,4,1759
www.facebook.com/100101241476910,One Roof,OneRoofOfficialPage,2023-05-31,no,82452,Malayalam,no,0,148737
www.facebook.com/100101252646953,Humapi Gamer,HumapiGamer,2023-08-15,yes,6637,Vietnamese,no,0,0
www.facebook.com/100101302948480,MD Mesbah Uddin,eng.mesbauddin,2023-04-27,no,5195,English,no,0,0
www.facebook.com/100101305808623,Adri Beauty Blogger,adribeautyblogger,2022-02-21,no,139733,English,no,13,9004
www.facebook.com/100101319014126,อีซิมมี่ Esimmy,simphutawant,2023-08-10,no,20423,Thai,no,8,5167
www.facebook.com/100101325304057,Unique Farming,theuniquefarming,2023-05-18,no,114914,Hindi,no,2,1271
www.facebook.com/100101345925073,Rahas vlogs,,2023-08-02,no,7452,Bengali,no,2,208
www.facebook.com/100101435998606,Historia De Vida Diaria,histriastocantes,2023-08-15,yes,228812,Vietnamese,no,39,14794
www.facebook.com/100101442295484,El Camarón Jaripeyero.,,2023-09-12,no,11410,Spanish,no,5,2374
www.facebook.com/100101459428985,Zulhas Kabir Sujon,zulhaskabir.sujon,2023-06-19,no,12808,English,no,4,593
www.facebook.com/100101465375049,Yahye Mumin Wardere,yahyehunter10,2023-09-01,no,570859,Somali,no,1,41650
www.facebook.com/100101482588677,Sehruna indian,,2022-08-19,no,135158,Hindi,no,6,7642
www.facebook.com/100101486193748,Christoosmoove,Christoosmoove2020,2023-08-17,no,13915,English,no,1,5489
www.facebook.com/100101509589133,Alex Azor Tv,,2023-06-05,no,112128,,no,20,12529
www.facebook.com/100101516266117,Samir Kumar Bardhan,,2023-05-05,no,41854,English,no,0,2495
www.facebook.com/100101533019719,Subhankar Biswas,,2023-07-24,no,5119,English,no,0,0
www.facebook.com/100101556111397,Mai Purper,maipurper,2023-01-12,no,435839,,no,0,63735
www.facebook.com/100101596271791,աջժ,,2023-09-20,no,21554,Indonesian,no,0,0
www.facebook.com/100101612992261,Dee Porter,dekeishia,2023-09-04,no,5423,English,no,1,75
www.facebook.com/100101635228362,Yuzuke,yuzukegaming,2022-09-21,yes,375219,English,no,6,33427
www.facebook.com/1001016913250002,Vitoria Souza,VitoriaSouzaOficial1,2020-09-07,yes,4702739,Portuguese,no,2,73018
www.facebook.com/100101722966715,婆婆也是妈,,2023-07-01,no,14254,Chinese,no,7,2538
www.facebook.com/100101741462637,ع الدكة مع محمد سمير,MohamedSmir1414,2023-07-24,no,15680,Arabic,no,2,1067
www.facebook.com/100101746249367,Clarise Mauricio,khalasclarise,2023-06-05,no,6280,English,no,5,36
www.facebook.com/100101752915544,Mary Joy Lugo Briones,Lioness03,2023-08-22,no,5070,English,no,11,88
www.facebook.com/100101755826521,chefboylee,chefboylee,2023-08-18,no,6467,,no,0,0
www.facebook.com/100101759527918,Regina Alvarez,ReginaAlvarezSotelo,2023-08-21,no,9878,Spanish,no,0,0
www.facebook.com/100101764729143,Bangsamoro Media Productions,bmp.mindanao,2023-08-02,no,153228,Tagalog,no,3,781
www.facebook.com/100101789598244,Víctor Gusukuma,victor.gusukuma,2023-06-19,no,7784,Spanish,no,6,1323
www.facebook.com/100101838404688,El Mr Moon.,ElMrMoon,2023-07-05,yes,50444,Spanish,no,6,479
www.facebook.com/100101859647259,Niki Oliver,,2023-09-13,no,13398,English,no,0,0
www.facebook.com/100101864827705,KEENA Online Shoppe,,2023-04-27,no,10283,English,no,5,2255
www.facebook.com/100101886090792,Yanti Munthe,yanthi.munthe,2023-09-27,no,5782,Indonesian,no,10,345
www.facebook.com/100101928504829,Piu Makeup World,piumakeupworld,2022-09-25,no,76584,Bengali,no,0,3029
www.facebook.com/100101949516263,Lourdes & Stacy Miller,lourdestacymiller,2023-08-02,no,13879,English,no,7,435
www.facebook.com/100101956248737,Samverjiel Retuya,samverjiel.retuya,2023-02-19,no,20298,English,no,0,0
www.facebook.com/100101975344480,Ni Kaung Myint - Acoustic guitar,Nikaungmyint,2023-04-16,no,99049,Burmese,no,1,79314
www.facebook.com/100101976294803,Ryan Pelobillo Laguna,laguna.ryan,2023-06-19,no,7955,English,no,0,0
