URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/100100292912575,Alberto Carlos Escobar,Alberto Carlos Escobar,2023-07-12,3284,Spanish,no,0,64
https://www.facebook.com/100100296240660,Rosa Chan,Rosa Chan,2023-08-18,57,Spanish,no,0,0
https://www.facebook.com/100100305610716,Jhon.artista,jhonelwason,2023-09-28,725589,Spanish,no,0,0
https://www.facebook.com/100100306255366,Arun Masih,Arun Masih,2022-11-02,299,English,no,1,267
https://www.facebook.com/100100318381900,Leela Thakur Pahari Singer,Leela Thakur Pahari Singer,2023-03-09,24533,Hindi,no,0,116791
https://www.facebook.com/100100343022165,محمد سامي,محمد سامي,2023-08-29,776,Arabic,no,0,0
https://www.facebook.com/100100362636115,Elchicodelamagia,Elchicodelamagiaa,2021-10-25,349746,Spanish,no,0,0
https://www.facebook.com/100100364711841,Lunale,Lunale,2023-04-14,1043,Spanish,no,2,246
https://www.facebook.com/100100366250021,สมลัก ภูแลนช้าง,,2023-07-25,18517,Thai,no,17,1092
https://www.facebook.com/100100392279562,اللغة الإنجليزية,اللغة الإنجليزية,2023-03-29,322887,Arabic,no,2,12399
https://www.facebook.com/100100402539372,Cheyanna Gochez,Cheyanna Gochez,2023-02-26,2301,English,no,0,286
https://www.facebook.com/100100419584358,Elisha Bernabe Dorig,kolinelisha.dorig,2023-09-15,17743,English,no,5,96
https://www.facebook.com/100100432223325,Republic Plumbing,republicplumbing,2021-10-25,57971,English,no,0,2466
https://www.facebook.com/100100432922312,Md. Shariful Islam,sisharifulislam4617,2023-08-01,5356,English,no,0,0
https://www.facebook.com/100100433012628,Venus Royo,Venus Royo,2023-04-12,557,English,no,0,0
https://www.facebook.com/100100436341767,Kalpana Das,Kalpana Das,2023-03-23,1736,English,no,3,487
https://www.facebook.com/100100439589161,Liard Dantas,Liard Dantas,2023-04-09,457,Portuguese,no,0,0
https://www.facebook.com/100100439638151,D K Satyam,D K Satyam,2022-12-21,275,English,no,0,0
https://www.facebook.com/100100456306682,Dueanpen Chueapan,dueanpen.chueapan,2023-08-15,18778,English,no,23,180
https://www.facebook.com/100100459577324,Miguel A PLeon,Miguel A PLeon,2023-08-01,1130,Spanish,no,0,35
https://www.facebook.com/100100459582117,Daniel Guinaha Colaway,Daniel Guinaha Colaway,2023-04-01,141,English,no,2,121
https://www.facebook.com/100100479684630,Anahí Anahí,Anahí Anahí,2023-02-12,93,Spanish,no,0,127
https://www.facebook.com/100100492925887,Heshell M Soneja,Heshell M Soneja,2023-03-20,2721,English,no,0,0
https://www.facebook.com/100100496282119,Dacles John Rey,Dacles John Rey,2023-08-29,304,English,no,0,0
https://www.facebook.com/100100509236043,Gwenie Boo,Gwenie Boo,2023-08-20,6209,English,no,4,149
https://www.facebook.com/100100512910072,Gutierrez Rose,Gutierrez Rose,2023-08-01,933,English,no,12,6
https://www.facebook.com/100100539382623,WAG Pet Sitter and Dog Walker of Anchorage - Erica,WAG Pet Sitter and Dog Walker of Anchorage - Erica,2022-11-25,545,,no,1,38
https://www.facebook.com/100100559576199,Silvia Galvan,Silvia Galvan,2022-10-22,38,Spanish,no,0,0
https://www.facebook.com/100100562285079,Tribuna Softball,TribunaSoftball,2023-02-13,20739,Spanish,no,3,1014
https://www.facebook.com/100100565201192,Kajal Kumari,Kajal Kumari,2023-07-22,136380,Hindi,no,0,0
https://www.facebook.com/100100586145928,भेरजी चोधरी,bherjiRajasthani,2023-04-02,9281,Hindi,no,6,261
https://www.facebook.com/100100586249661,Praktek Gigi Mandiri Rahmadini I,Praktek Gigi Mandiri Rahmadini I,2023-09-03,9129,Indonesian,no,5,221
https://www.facebook.com/100100599416627,The Tortoise Whisperer,The Tortoise Whisperer,2023-08-07,129962,,no,7,5162
https://www.facebook.com/100100606354083,Veer Gurjar,Veer Gurjar,2023-04-12,3295,English,no,7,296
https://www.facebook.com/100100616291634,Seventh Sense,Seventh Sense,2023-03-22,1009,English,no,0,0
https://www.facebook.com/100100622997436,Cerita Kelly,Cerita Kelly,2023-08-10,173879,,no,11,12763
https://www.facebook.com/1001006236688144,Simba'ng Bisaya,SimbangBisaya,2023-07-20,18398,English,no,0,0
https://www.facebook.com/100100626189326,ครูเอ๋วัชราวลี เอกเอ๋ประกันภัย,ครูเอ๋วัชราวลี เอกเอ๋ประกันภัย,2023-09-22,18929,,no,13,323
https://www.facebook.com/100100626351288,Jovelyn Eguia Jaralve,Jovelyn Eguia Jaralve,2023-05-05,0,,no,0,0
